date,open,high,low,close,adj_close,volume,pct_chg,volume_chg,ma5,ma20,volatility_20d,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,price_13
2025-01-02,52700,53600,52300,53400,52164.56,16630538,,,,,0.015343,,,,,,,,52600
2025-01-03,52800,55100,52800,54400,53141.43,19318046,0.018727,0.161601,,,,,,,,,,,54800
2025-01-06,54400,56200,54300,55900,54606.72,19034284,0.027574,-0.014689,,,0.006114,,,,,,,,55900
2025-01-07,56800,57300,55400,55400,54118.29,17030235,-0.008945,-0.105286,,,0.018897,,,,,,,,55900
2025-01-08,54800,57500,54700,57300,55974.34,26593553,0.034296,0.561549,55280,,0.018795,,,,,,,,57000
2025-01-09,57600,57700,56100,56100,54802.09,24490592,-0.020942,-0.079078,55820,,0.023787,,,,,,,,56900
2025-01-10,56100,56500,55200,55300,54020.6,16059223,-0.01426,-0.34427,56000,,0.023462,,,,,,,,55700
2025-01-13,54600,55000,54100,54100,52848.37,16868600,-0.0217,0.0504,55640,,0.023851,,,,,,,,54300
2025-01-14,54200,54600,53700,53900,52652.99,17465926,-0.003697,0.035411,55340,,0.022169,,,,,,,,54200
2025-01-15,54100,54700,53500,53700,52457.62,18625025,-0.003711,0.066363,54620,,0.020801,,,,,,,,54000
2025-01-16,54200,55000,54100,54300,53043.74,18627298,0.011173,0.000122,54260,,0.01989,,,,,,,,54200
2025-01-17,53800,54100,53200,53700,52457.62,18805344,-0.01105,0.009558,53940,,0.019259,,,,,,,,53600
2025-01-20,53600,53900,53300,53400,52164.56,11822531,-0.005587,-0.371321,53800,,0.018447,,,,,,,,53500
2025-01-21,53700,54300,53300,53500,52262.24,13535702,0.001873,0.144907,53720,,0.01767,44.886,,,,,,,53900
2025-01-22,53400,54400,53100,54300,53043.74,18341991,0.014953,0.355082,53840,,0.017425,51.9501,,,,,,,53400
2025-01-23,53700,54100,53500,53700,52457.62,15588067,-0.01105,-0.150143,53720,,0.017089,47.0766,,,,,,,53800
2025-01-24,53600,53800,53200,53700,52457.62,11867631,0,-0.238672,53720,,0.01651,47.0766,,,,,,,53600
2025-01-31,52200,53000,51700,52400,51187.7,42186279,-0.024209,2.554735,53520,,0.017085,38.096,,,,,,,52200
2025-02-03,51100,51400,50800,51000,49820.08,32344897,-0.026718,-0.233284,53020,,0.017669,31.1945,,,,,,,50900
2025-02-04,51600,53600,51500,52700,51480.76,27214851,0.033333,-0.158604,52700,54110,0.018989,44.3728,,,,56910.68,51309.32,0.2483,53100
2025-02-05,53600,53800,52800,52900,51676.12,15974885,0.003795,-0.413009,52540,54085,0.01851,45.6906,,,,56921.06,51248.94,0.2911,53100
2025-02-06,53400,54000,53200,54000,52750.68,16466025,0.020794,0.030745,52600,54065,0.018625,52.3738,,,,56897.35,51232.65,0.4885,53500
2025-02-07,53900,54200,53600,53700,52457.62,14476866,-0.005556,-0.120804,52860,53955,0.017478,50.5469,,,,56655.08,51254.92,0.4528,53800
2025-02-10,53000,55900,52900,55600,54313.66,27577591,0.035382,0.904942,53780,53965,0.019211,60.0512,,,,56688.99,51241.01,0.8001,53900
2025-02-11,55500,56300,55000,55700,54411.35,24596196,0.001799,-0.108109,54380,53885,0.01753,60.4817,,,,56269.4,51500.6,0.8806,56000
2025-02-12,55100,55900,54500,55800,54509.04,26428596,0.001795,0.074499,54960,53870,0.01691,60.9351,255.5258,,,56198.86,51541.14,0.9144,55500
2025-02-13,56100,56400,55600,55800,54509.04,22448377,0,-0.150603,55320,53895,0.016581,60.9351,356.7488,,,56298.05,51491.95,0.8964,56000
2025-02-14,56000,57300,56000,56000,54704.41,23979779,0.003584,0.068219,55780,53990,0.015728,61.9476,447.9435,,,56570.82,51409.18,0.8894,56400
2025-02-17,56100,56500,55700,56000,54704.41,11916027,0,-0.50308,55860,54095,0.015682,61.9476,514.2876,,,56826.86,51363.14,0.8487,55800
2025-02-18,56200,57200,55900,56900,55583.59,22131007,0.016071,0.857247,56100,54255,0.015925,66.4816,632.2006,,,57251.47,51258.53,0.9414,57000
2025-02-19,57400,58900,57300,58700,57341.94,25395151,0.031634,0.147492,56680,54475,0.017059,73.3269,860.9677,,,58071.42,50878.58,1.0874,58700
2025-02-20,59100,59100,58100,58400,57048.88,21589059,-0.005111,-0.149875,57200,54710,0.016833,70.7341,1006.458,,,58687.25,50732.75,0.9639,58500
2025-02-21,58400,58500,57100,58200,56853.5,22198428,-0.003425,0.028226,57640,54950,0.016773,68.9829,1093.0221,,,59166.51,50733.49,0.8854,57600
2025-02-24,57300,57700,57200,57300,55974.34,14138471,-0.015464,-0.363087,57900,55140,0.01735,61.5929,1076.5921,739.7082,336.8839,59423.33,50856.67,0.7521,57200
2025-02-25,56600,57800,56500,57200,55876.64,14625181,-0.001745,0.034425,57960,55285,0.017172,60.8134,1043.4734,800.4612,243.0122,59644.27,50925.73,0.7196,57600
2025-02-26,57000,57100,56100,56600,55290.52,18117091,-0.01049,0.23876,57540,55430,0.017148,56.216,957.7711,831.9232,125.8479,59760.11,51099.89,0.6351,56500
2025-02-27,56500,57100,56200,56300,54997.46,14975356,-0.0053,-0.173413,57120,55560,0.017232,54.0172,855.779,836.6944,19.0846,59827.08,51292.92,0.5867,56200
2025-02-28,55400,55700,54500,54500,53239.11,28036698,-0.031972,0.872189,56380,55665,0.017965,43.1193,622.5285,793.8612,-171.3327,59701.82,51628.18,0.3557,54800
2025-03-04,53900,55000,53800,54500,53239.11,18553933,0,-0.338227,55820,55840,0.016631,43.1193,432.688,721.6265,-288.9386,59285.45,52394.55,0.3055,54500
2025-03-05,55100,55400,54000,54000,52750.68,16578817,-0.009174,-0.106453,55180,55905,0.015314,40.4878,239.1356,625.1284,-385.9928,59143.89,52666.11,0.2059,54500
2025-03-06,54100,54500,54000,54300,53043.74,12258101,0.005556,-0.260617,54720,55975,0.015334,42.7456,108.6984,521.8424,-413.144,58993.45,52956.55,0.2225,54250
2025-03-07,53500,54200,53400,53700,52457.62,14274992,-0.01105,0.164535,54200,55960,0.014868,39.5166,-42.5979,408.9543,-451.5522,59022.44,52897.56,0.131,53900
